FECHA;FECHA1;FECHA2;TOTAL;COMUNA
21-06-2022;220621;61;75;Talagante
21-06-2022;220621;61;79;Santiago
21-06-2022;220621;61;67;Quilicura
21-06-2022;220621;61;73;Puente Alto
21-06-2022;220621;61;82;Pudahuel
21-06-2022;220621;61;73;Las Condes
21-06-2022;220621;61;63;La Florida
21-06-2022;220620;61;83;El Bosque
21-06-2022;220620;61;87;Cerro Navia
21-06-2022;220620;61;82;Cerrillos
21-06-2022;220620;61;76,4;RM
22-06-2022;220622;62;76;Talagante
22-06-2022;220622;62;92;Santiago
22-06-2022;220622;62;89;Quilicura
22-06-2022;220622;62;83;Puente Alto
22-06-2022;220622;62;99;Pudahuel
22-06-2022;220622;62;80;Las Condes
22-06-2022;220622;62;81;La Florida
22-06-2022;220621;62;90;El Bosque
22-06-2022;220621;62;110;Cerro Navia
22-06-2022;220621;62;93;Cerrillos
22-06-2022;220621;62;89,3;RM
23-06-2022;220623;63;34;Talagante
23-06-2022;220623;63;44;Santiago
23-06-2022;220623;63;36;Quilicura
23-06-2022;220623;63;30;Puente Alto
23-06-2022;220623;63;40;Pudahuel
23-06-2022;220623;63;29;Las Condes
23-06-2022;220623;63;44;La Florida
23-06-2022;220622;63;40;El Bosque
23-06-2022;220622;63;48;Cerro Navia
23-06-2022;220622;63;40;Cerrillos
23-06-2022;220622;63;38,5;RM
24-06-2022;220624;64;97;Talagante
24-06-2022;220624;64;110;Santiago
24-06-2022;220624;64;90;Quilicura
24-06-2022;220624;64;78;Puente Alto
24-06-2022;220624;64;123;Pudahuel
24-06-2022;220624;64;47;Las Condes
24-06-2022;220624;64;101;La Florida
24-06-2022;220623;64;145;El Bosque
24-06-2022;220623;64;152;Cerro Navia
24-06-2022;220623;64;126;Cerrillos
24-06-2022;220623;64;106,9;RM
25-06-2022;220625;65;100;Talagante
25-06-2022;220625;65;115;Santiago
25-06-2022;220625;65;100;Quilicura
25-06-2022;220625;65;84;Puente Alto
25-06-2022;220625;65;123;Pudahuel
25-06-2022;220625;65;41;Las Condes
25-06-2022;220625;65;80;La Florida
25-06-2022;220624;65;131;El Bosque
25-06-2022;220624;65;139;Cerro Navia
25-06-2022;220624;65;139;Cerrillos
25-06-2022;220624;65;105,2;RM
26-06-2022;220626;66;85;Talagante
26-06-2022;220626;66;113;Santiago
26-06-2022;220626;66;99;Quilicura
26-06-2022;220626;66;81;Puente Alto
26-06-2022;220626;66;130;Pudahuel
26-06-2022;220626;66;65;Las Condes
26-06-2022;220626;66;94;La Florida
26-06-2022;220625;66;137;El Bosque
26-06-2022;220625;66;141;Cerro Navia
26-06-2022;220625;66;119;Cerrillos
26-06-2022;220625;66;106,4;RM
27-06-2022;220627;67;76;Talagante
27-06-2022;220627;67;54;Santiago
27-06-2022;220627;67;60;Quilicura
27-06-2022;220627;67;33;Puente Alto
27-06-2022;220627;67;100;Pudahuel
27-06-2022;220627;67;26;Las Condes
27-06-2022;220627;67;45;La Florida
27-06-2022;220626;67;57;El Bosque
27-06-2022;220626;67;102;Cerro Navia
27-06-2022;220626;67;57;Cerrillos
27-06-2022;220626;67;61;RM
28-06-2022;220628;68;57;Talagante
28-06-2022;220628;68;83;Santiago
28-06-2022;220628;68;70;Quilicura
28-06-2022;220628;68;55;Puente Alto
28-06-2022;220628;68;101;Pudahuel
28-06-2022;220628;68;33;Las Condes
28-06-2022;220628;68;84;La Florida
28-06-2022;220627;68;99;El Bosque
28-06-2022;220627;68;119;Cerro Navia
28-06-2022;220627;68;94;Cerrillos
28-06-2022;220627;68;79,5;RM
29-06-2022;220629;69;95;Talagante
29-06-2022;220629;69;92;Santiago
29-06-2022;220629;69;91;Quilicura
29-06-2022;220629;69;87;Puente Alto
29-06-2022;220629;69;117;Pudahuel
29-06-2022;220629;69;53;Las Condes
29-06-2022;220629;69;92;La Florida
29-06-2022;220628;69;102;El Bosque
29-06-2022;220628;69;136;Cerro Navia
29-06-2022;220628;69;111;Cerrillos
29-06-2022;220628;69;97,6;RM
30-06-2022;220630;70;65;Talagante
30-06-2022;220630;70;83;Santiago
30-06-2022;220630;70;87;Quilicura
30-06-2022;220630;70;70;Puente Alto
30-06-2022;220630;70;91;Pudahuel
30-06-2022;220630;70;69;Las Condes
30-06-2022;220630;70;82;La Florida
30-06-2022;220629;70;97;El Bosque
30-06-2022;220629;70;100;Cerro Navia
30-06-2022;220629;70;87;Cerrillos
30-06-2022;220629;70;83,1;RM
01-07-2022;220701;71;20;Talagante
01-07-2022;220701;71;29;Santiago
01-07-2022;220701;71;28;Quilicura
01-07-2022;220701;71;31;Puente Alto
01-07-2022;220701;71;27;Pudahuel
01-07-2022;220701;71;26;Las Condes
01-07-2022;220701;71;25;La Florida
01-07-2022;220630;71;27;El Bosque
01-07-2022;220630;71;30;Cerro Navia
01-07-2022;220630;71;27;Cerrillos
01-07-2022;220630;71;27;RM
02-07-2022;220702;72;58;Talagante
02-07-2022;220702;72;53;Santiago
02-07-2022;220702;72;47;Quilicura
02-07-2022;220702;72;48;Puente Alto
02-07-2022;220702;72;83;Pudahuel
02-07-2022;220702;72;34;Las Condes
02-07-2022;220702;72;66;La Florida
02-07-2022;220701;72;94;El Bosque
02-07-2022;220701;72;92;Cerro Navia
02-07-2022;220701;72;70;Cerrillos
02-07-2022;220701;72;64,5;RM
03-07-2022;220703;73;120;Talagante
03-07-2022;220703;73;121;Santiago
03-07-2022;220703;73;90;Quilicura
03-07-2022;220703;73;107;Puente Alto
03-07-2022;220703;73;155;Pudahuel
03-07-2022;220703;73;38;Las Condes
03-07-2022;220703;73;112;La Florida
03-07-2022;220702;73;156;El Bosque
03-07-2022;220702;73;182;Cerro Navia
03-07-2022;220702;73;146;Cerrillos
03-07-2022;220702;73;122,7;RM
04-07-2022;220704;74;120;Talagante
04-07-2022;220704;74;127;Santiago
04-07-2022;220704;74;105;Quilicura
04-07-2022;220704;74;69;Puente Alto
04-07-2022;220704;74;141;Pudahuel
04-07-2022;220704;74;45;Las Condes
04-07-2022;220704;74;96;La Florida
04-07-2022;220703;74;145;El Bosque
04-07-2022;220703;74;163;Cerro Navia
04-07-2022;220703;74;149;Cerrillos
04-07-2022;220703;74;116;RM
